IP address,as_name,country,continent,uri,Code,Message Type,Payload,Payload Size (bytes)
122.2.118.132,Philippine Long Distance Telephone Company,Philippines,Asia,</>,2.05 Content,ACK,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127
122.2.118.132,Philippine Long Distance Telephone Company,Philippines,Asia,</qlink/searchfh>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
122.2.118.132,Philippine Long Distance Telephone Company,Philippines,Asia,</qlink/searchgw>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
122.2.118.132,Philippine Long Distance Telephone Company,Philippines,Asia,</qlink/request>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
122.2.118.132,Philippine Long Distance Telephone Company,Philippines,Asia,</qlink/success>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
122.2.118.132,Philippine Long Distance Telephone Company,Philippines,Asia,</device/inform/bootstrap>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
122.2.118.132,Philippine Long Distance Telephone Company,Philippines,Asia,</device/inform/boot>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
122.2.118.132,Philippine Long Distance Telephone Company,Philippines,Asia,</device/inform/syncreq>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
122.2.118.132,Philippine Long Distance Telephone Company,Philippines,Asia,</device/inform/offline>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
122.2.118.132,Philippine Long Distance Telephone Company,Philippines,Asia,</device/inform/heartbeat>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
122.2.118.132,Philippine Long Distance Telephone Company,Philippines,Asia,</device/inform/data>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
122.2.118.132,Philippine Long Distance Telephone Company,Philippines,Asia,</async>,2.05 Content,CON,done,4
185.99.4.153,JV A-Mobile Ltd.,Georgia,Asia,</register>,4.05 Method Not Allowed,ACK,,0
185.99.4.153,JV A-Mobile Ltd.,Georgia,Asia,</ndm/dis>,4.00 Bad Request,ACK,,0
185.99.4.153,JV A-Mobile Ltd.,Georgia,Asia,</ndm/ci>,4.00 Bad Request,ACK,0x1,3
185.99.4.153,JV A-Mobile Ltd.,Georgia,Asia,</mirror>,4.05 Method Not Allowed,ACK,,0
185.99.4.153,JV A-Mobile Ltd.,Georgia,Asia,</uhp>,4.05 Method Not Allowed,ACK,,0
185.99.4.153,JV A-Mobile Ltd.,Georgia,Asia,</ndm/logout>,4.05 Method Not Allowed,ACK,,0
185.99.4.153,JV A-Mobile Ltd.,Georgia,Asia,</ndm/login>,4.05 Method Not Allowed,ACK,,0
185.99.4.153,JV A-Mobile Ltd.,Georgia,Asia,</info>,2.05 Content,ACK,"{""cid"":""c585fc96-30f9-11e6-8115-25dd557443c6"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Start II"",""version"":""0.3.5-1""}",130
185.5.149.43,Flex Ltd.,Russia,Europe,</register>,4.05 Method Not Allowed,ACK,,0
185.5.149.43,Flex Ltd.,Russia,Europe,</ndm/dis>,4.00 Bad Request,ACK,,0
185.5.149.43,Flex Ltd.,Russia,Europe,</ndm/ci>,4.00 Bad Request,ACK,0x1,3
185.5.149.43,Flex Ltd.,Russia,Europe,</mirror>,4.05 Method Not Allowed,ACK,,0
185.5.149.43,Flex Ltd.,Russia,Europe,</uhp>,4.05 Method Not Allowed,ACK,,0
185.5.149.43,Flex Ltd.,Russia,Europe,</ndm/logout>,4.05 Method Not Allowed,ACK,,0
185.5.149.43,Flex Ltd.,Russia,Europe,</ndm/login>,4.05 Method Not Allowed,ACK,,0
185.5.149.43,Flex Ltd.,Russia,Europe,</info>,2.05 Content,ACK,"{""cid"":""7e63e058-04f8-11e6-8115-afd341d79274"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Start II"",""version"":""0.3.5-1""}",130
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</>,2.05 Content,ACK,"This is a test server made with libcoap (see https://libcoap.net)
Copyright (C) 2010--2019 Olaf Bergmann <bergmann@tzi.org> and others

",136
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</qlink/searchdevice>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</qlink/netinfo>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</qlink/searchack>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</device/command/unbind>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</device/command/file>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</device/command/log>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</device/command/selfdetect>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</qlink/searchdevice?true>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</qlink/searchRouter?true>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</qlink/guide?true>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</qlink/request?true>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</device/inform/data>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</apdevice/control/WiFiParameterSync>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</apdevice/control/WiFiSwitch>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</apdevice/control/RadioConfig>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</apdevice/control/WPS>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</apdevice/control/MacFilter>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</apdevice/control/Reboot>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</apdevice/control/LEDControl>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
120.237.4.214,"China Mobile Communications Group Co., Ltd.",China,Asia,</apdevice/control/RoamingConfig>,4.05 Method Not Allowed,ACK,Method Not Allowed,18
