IP address,asn,as_name,as_domain,country_code,country,continent_code,continent,isCoAP,Code,Message Type,Payload,Payload Size (bytes)
122.2.118.132,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia,True,2.05 Content,ACK,"</>;title=""General Info"";ct=0,</qlink/searchfh>;title=qlink/searchfh,</qlink/searchgw>;title=qlink/searchgw,</qlink/request>;title=qlink/request,</qlink/success>;title=qlink/success,</device/inform/bootstrap>;title=device/inform/bootstrap,</device/inform/boot>;title=device/inform/boot,</device/inform/syncreq>;title=device/inform/syncreq,</device/inform/offline>;title=device/inform/offline,</device/inform/heartbeat>;title=device/inform/heartbeat,</device/inform/data>;title=device/inform/data,</async>;ct=0",509
122.192.182.187,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,CN,China,AS,Asia,False,,,,
122.52.71.72,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia,False,,,,
177.137.126.51,AS263015,G7 Telecom Ltda,g7internet.com.br,BR,Brazil,SA,South America,False,,,,
185.99.4.153,AS50257,JV A-Mobile Ltd.,a-mobile.biz,GE,Georgia,AS,Asia,True,2.05 Content,ACK,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",84
111.53.22.67,AS56042,China Mobile communications corporation,chinamobile.com,CN,China,AS,Asia,False,,,,
77.45.243.172,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe,False,,,,
49.144.29.28,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia,False,,,,
180.194.17.214,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia,False,,,,
185.5.149.43,AS21453,Flex Ltd.,flex.ru,RU,Russia,EU,Europe,True,2.05 Content,ACK,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",84
120.237.4.214,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia,True,2.05 Content,ACK,"</>;title=""General Info"";ct=0,</qlink/searchdevice>;title=""searchdevice"";obs,</qlink/netinfo>;title=""netinfo"";obs,</qlink/searchack>;title=""searchack"";obs,</device/command/unbind>;title=""unbind"";obs,</device/command/file>;title=""file"";obs,</device/command/log>;title=""log"";obs,</device/command/selfdetect>;title=""selfdetect"";obs,</qlink/searchdevice?true>;title=""searchdevice?true"";obs,</qlink/searchRouter?true>;title=""searchRouter?true"";obs,</qlink/guide?true>;title=""guide?true"";obs,</qlink/request?true>;title=""request?true"";obs,</device/inform/data>;title=""data"";obs,</apdevice/control/WiFiParameterSync>;title=""WiFiParameterSync"";obs,</apdevice/control/WiFiSwitch>;title=""WiFiSwitch"";obs,</apdevice/control/RadioConfig>;title=""RadioConfig"";obs,</apdevice/control/WPS>;title=""WPS"";obs,</apdevice/control/MacFilter>;title=""MacFilter"";obs,</apdevice/control/Reboot>;title=""Reboot"";obs,</apdevice/control/LEDControl>;title=""LEDControl"";obs,</apdevice/control/RoamingConfig>;title=""RoamingConfig"";obs,</apdevice/query/ApConfigInfo>;title=""ApConfigInfo"";obs,</apdevice/query/UplinkStatus>;title=""UplinkStatus"";obs,</apdevice/query/STAInfo>;title=""STAInfo"";obs,</apdevice/query/WiFiStats>;title=""WiFiStats"";obs,</apdevice/query/WiFiStatus>;title=""WiFiStatus"";obs,</apdevice/query/WlanNeighborInfo>;title=""WlanNeighborInfo"";obs",1325
120.237.170.184,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia,False,,,,
112.208.247.235,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia,False,,,,
175.137.53.200,AS4788,TM TECHNOLOGY SERVICES SDN. BHD.,tm.com.my,MY,Malaysia,AS,Asia,False,,,,
103.114.88.36,AS137811,"BEE UNION (CAMBODIA) TELECOM CO., LTD",beeunion.net,KH,Cambodia,AS,Asia,False,,,,
135.0.253.169,AS54614,CIK Telecom INC,ciktel.com,CA,Canada,NA,North America,False,,,,
