saddr,as_domain,as_name,asn,continent,continent_code,country,country_code
31.128.223.89,telecet.ru,Teleset ltd.,AS48738,Europe,EU,Russia,RU
24.156.173.83,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
31.40.41.226,vgscom.ru,Gorset LLC,AS49776,Europe,EU,Russia,RU
31.148.52.253,mkpnet.ru,Orgtechservice Ltd,AS56361,Europe,EU,Russia,RU
2.61.110.120,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
20.244.106.155,microsoft.com,Microsoft Corporation,AS8075,Asia,AS,India,IN
3.66.76.165,amazon.com,"Amazon.com, Inc.",AS16509,Europe,EU,Germany,DE
1.192.219.174,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
14.177.160.7,vnpt.vn,VNPT Corp,AS45899,Asia,AS,Vietnam,VN
5.189.34.32,miralogic.ru,"LLC ""KomTehCentr""",AS12668,Europe,EU,Russia,RU
31.135.137.148,rs.net.ua,Technical Centre Radio Systems Ltd.,AS20539,Europe,EU,Ukraine,UA
27.154.238.90,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
5.166.92.70,ertelecom.ru,"JSC ""ER-Telecom Holding""",AS50512,Europe,EU,Russia,RU
5.101.12.139,umnyeseti.ru,Grand Ltd,AS56340,Europe,EU,Russia,RU
5.165.18.236,ertelecom.ru,"JSC ""ER-Telecom Holding""",AS51604,Europe,EU,Russia,RU
14.181.251.27,vnpt.vn,VNPT Corp,AS45899,Asia,AS,Vietnam,VN
14.175.83.90,vnpt.vn,VNPT Corp,AS45899,Asia,AS,Vietnam,VN
31.8.9.84,bashtel.ru,"PJSC ""Bashinformsvyaz""",AS28812,Europe,EU,Russia,RU
4.240.103.93,microsoft.com,Microsoft Corporation,AS8075,Asia,AS,India,IN
1.190.32.67,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
5.145.246.136,smoltelecom.ru,OOO Smoltelecom,AS44265,Europe,EU,Russia,RU
5.254.180.92,ttk.ru,"Limited Liability Company ""TTK-Svyaz""",AS15774,Europe,EU,Russia,RU
5.128.47.5,novotelecom.ru,Novotelecom Ltd,AS31200,Europe,EU,Russia,RU
5.138.76.167,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
31.130.91.249,teleseti.com,Teleseti Plus Ltd.,AS15673,Europe,EU,Russia,RU
5.137.44.227,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
5.101.133.14,umnyeseti.ru,Grand Ltd,AS56340,Europe,EU,Russia,RU
5.145.255.155,smoltelecom.ru,OOO Smoltelecom,AS44265,Europe,EU,Russia,RU
5.175.124.67,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
5.187.95.236,kvant-telecom.ru,KVANT TELECOM,AS43727,Europe,EU,Russia,RU
14.167.23.235,vnpt.vn,VNPT Corp,AS45899,Asia,AS,Vietnam,VN
31.47.123.219,transtelecom.net,Joint Stock Company TransTeleCom,AS8427,Europe,EU,Russia,RU
31.41.102.144,base-net.ru,Base Ltd.,AS47397,Europe,EU,Russia,RU
5.254.183.88,ttk.ru,"Limited Liability Company ""TTK-Svyaz""",AS15774,Europe,EU,Russia,RU
5.165.151.91,ertelecom.ru,"JSC ""ER-Telecom Holding""",AS57026,Europe,EU,Russia,RU
27.11.2.151,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
31.47.115.96,transtelecom.net,Joint Stock Company TransTeleCom,AS8427,Europe,EU,Russia,RU
5.59.209.132,balkhash.tv,TOO B-TEL,AS61367,Asia,AS,Kazakhstan,KZ
24.199.120.185,digitalocean.com,"DigitalOcean, LLC",AS14061,North America,NA,United States,US
27.211.36.38,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
31.193.127.174,eliteltg.ru,Elitel Telecom Group Ltd,AS56689,Europe,EU,Russia,RU
31.128.198.161,telecet.ru,Teleset ltd.,AS48738,Europe,EU,Russia,RU
27.74.109.99,viettel.com.vn,Viettel Group,AS7552,Asia,AS,Vietnam,VN
1.25.22.217,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
5.188.102.204,umnyeseti.ru,Grand Ltd,AS56340,Europe,EU,Russia,RU
5.138.65.158,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
27.115.92.118,chinaunicom.cn,China Unicom Shanghai network,AS17621,Asia,AS,China,CN
31.204.105.59,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
5.42.53.253,garantia.tv,CJSC Kolomna-Sviaz TV,AS39493,Europe,EU,Russia,RU
31.44.58.182,ertelecom.ru,"JSC ""ER-Telecom Holding""",AS56420,Europe,EU,Russia,RU
