saddr,uri,version,mtype,token_size,code,mid,token,options,payload,payload_size
111.8.239.24,/qlink,1,ACK,2,4.05 Method Not Allowed,12590,e119,,,0
111.8.239.24,/qlink/ack,,,,,,,,Network error: MessageError,
111.8.239.24,/qlink/request,1,ACK,2,2.05 Content,53691,9bed,{'CONTENT_FORMAT': 'TEXT'},"should post example,should post example should post exampleshould post exampleshould post exampleshould post examplepost exampleshould post exampleshould post example::{""deviceId"":""50294D0120011"",""deviceType"":""111"",""ipAddress"":""192.168.1.15""}",242
111.8.239.24,/qlink/searchgw,1,ACK,2,2.05 Content,13753,40ca,{'CONTENT_FORMAT': 'TEXT'},"{""result"":1}",12
111.8.239.24,/qlink/success,1,ACK,2,2.05 Content,43440,a09d,{'CONTENT_FORMAT': 'TEXT'},,0
111.8.239.24,/qlink/wlantest,,,,,,,,Network error: ConRetransmitsExceeded,
111.8.239.24,/gw,1,ACK,2,4.05 Method Not Allowed,26488,876a,,,0
111.8.239.24,/gw/query,1,ACK,2,4.05 Method Not Allowed,25018,ede4,,,0
111.8.239.24,/gw/query/DiagnotorConnection,1,ACK,2,2.05 Content,18519,ecc9,{'CONTENT_FORMAT': 'TEXT'},"010_3455949D9070{""apmsOnlineStatus"":0}",38
111.8.239.24,/gw/query/apdevices,1,ACK,2,2.05 Content,10332,fc13,{'CONTENT_FORMAT': 'TEXT'},"{""APDevices"":[]}",16
111.8.239.24,/gw/query/config,1,ACK,2,2.05 Content,20333,d031,{'CONTENT_FORMAT': 'TEXT'},"""respCode"":1",12
111.8.239.24,/basic,1,ACK,2,4.05 Method Not Allowed,50228,b347,,,0
111.8.239.24,/basic/regist,1,ACK,2,2.05 Content,11820,bfd5,{'CONTENT_FORMAT': 'TEXT'},"should post example:{""ClientId"":""1391234567"",""ClientType"":0,""password"":""123456""}",80
111.8.239.24,/basic/show,1,ACK,2,2.05 Content,4332,d50f,{'CONTENT_FORMAT': 'TEXT'},"userIp:null
SUCCESS_RESP:
userDevices:
toLinkDevices:
",54
111.8.239.24,/device,1,ACK,2,4.05 Method Not Allowed,20940,1786,,,0
111.8.239.24,/device/command,1,ACK,2,4.05 Method Not Allowed,62641,edd9,,,0
111.8.239.24,/device/command/control,1,ACK,2,2.05 Content,11739,7c2e,{'CONTENT_FORMAT': 'TEXT'},"{""respCode"":1}",14
111.8.239.24,/device/command/data,1,ACK,2,2.05 Content,55238,c97e,{'CONTENT_FORMAT': 'TEXT'},[],2
111.8.239.24,/device/inform,1,ACK,2,4.05 Method Not Allowed,3955,03b1,,,0
111.8.239.24,/device/inform/boot,1,ACK,2,2.05 Content,13464,6fc0,{'CONTENT_FORMAT': 'TEXT'},"should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.15"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194
