saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,uri,observable,user_inserted,version,mtype,token,token_length,code,mid,options,data_length
176.213.15.65,1091556784,192.168.0.123,2063640768,23611,54,udp,1,5683,60624,12,,,,,,0,1,2025-10-30T22:33:55.444+0100,1761860035,444366,/,3,True,1,2,,0,4.04 Not Found,32112,,0
188.235.11.73,1225518012,192.168.0.123,2063640768,37159,54,udp,1,5683,37592,12,,,,,,0,1,2025-10-30T22:33:55.453+0100,1761860035,453086,/,3,True,1,2,,0,4.04 Not Found,32112,,0
176.111.214.75,1272344496,192.168.0.123,2063640768,19042,240,udp,1,5683,48213,12,,,,,,0,1,2025-10-30T22:33:55.486+0100,1761860035,486670,/,3,True,1,2,,0,4.04 Not Found,32112,,0
162.208.137.38,646566050,192.168.0.123,2063640768,62231,44,udp,1,5683,50147,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T22:33:55.567+0100,1761860035,567321,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
170.79.122.235,3950661546,192.168.0.123,2063640768,46311,53,udp,1,5683,34705,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T22:33:55.590+0100,1761860035,590059,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
180.194.68.180,3024405172,192.168.0.123,2063640768,0,52,udp,1,5683,48374,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T22:33:55.599+0100,1761860035,599186,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
175.148.222.135,2279511215,192.168.0.123,2063640768,8098,38,udp,1,5683,57838,22,Not Found,,,,,0,1,2025-10-30T22:33:55.658+0100,1761860035,658789,/,3,True,1,2,,0,4.04 Not Found,32112,,9
183.234.79.187,3142576823,192.168.0.123,2063640768,55837,42,udp,1,5683,34449,420,"****************************************************************
CoAP RFC 7252
****************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014-2020 Institute for Pervasive Computing, ETH Zurich and others
****************************************************************",,,,,0,1,2025-10-30T22:33:55.667+0100,1761860035,667660,/,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",406
183.249.75.51,860617143,192.168.0.123,2063640768,19178,42,udp,1,5683,37941,420,"****************************************************************
CoAP RFC 7252
****************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014-2020 Institute for Pervasive Computing, ETH Zurich and others
****************************************************************",,,,,0,1,2025-10-30T22:33:55.680+0100,1761860035,680897,/,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",406
171.211.11.70,1175180203,192.168.0.123,2063640768,63512,50,udp,1,5683,38493,22,Not Found,,,,,0,1,2025-10-30T22:33:55.681+0100,1761860035,681878,/,3,True,1,2,,0,4.04 Not Found,32112,,9
183.236.195.169,2848189623,192.168.0.123,2063640768,270,42,udp,1,5683,60094,462,"************************************************************
CoAP RFC 7252                                               
************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014, 2015, 2016 Institute for Pervasive Computing, ETH Zurich and others
************************************************************",,,,,0,1,2025-10-30T22:33:55.697+0100,1761860035,697972,/,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",448
