saddr,uri,version,mtype,token_size,code,mid,token,options,payload,payload_size
135.0.77.56,/,1,ACK,2,2.05 Content,59842,3126,"{'CONTENT_FORMAT': 'TEXT', 'MAX_AGE': '196607'}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127
135.0.77.56,/qlink/searchfh,1,ACK,2,4.05 Method Not Allowed,18561,cc2a,,Method Not Allowed,18
135.0.77.56,/qlink/searchgw,1,ACK,2,4.05 Method Not Allowed,1462,76a8,,Method Not Allowed,18
135.0.77.56,/qlink/request,1,ACK,2,4.05 Method Not Allowed,30211,efcf,,Method Not Allowed,18
135.0.77.56,/qlink/success,1,ACK,2,4.05 Method Not Allowed,41821,1341,,Method Not Allowed,18
135.0.77.56,/device/inform/bootstrap,1,ACK,2,4.05 Method Not Allowed,20012,6382,,Method Not Allowed,18
135.0.77.56,/device/inform/boot,1,ACK,2,4.05 Method Not Allowed,48873,bf35,,Method Not Allowed,18
135.0.77.56,/device/inform/syncreq,1,ACK,2,4.05 Method Not Allowed,21379,e134,,Method Not Allowed,18
135.0.77.56,/device/inform/offline,1,ACK,2,4.05 Method Not Allowed,14067,4172,,Method Not Allowed,18
135.0.77.56,/device/inform/heartbeat,1,ACK,2,4.05 Method Not Allowed,35419,e617,,Method Not Allowed,18
135.0.77.56,/device/inform/data,1,ACK,2,4.05 Method Not Allowed,63340,4774,,Method Not Allowed,18
135.0.77.56,/device/inform/change,1,ACK,2,4.05 Method Not Allowed,56690,1e34,,Method Not Allowed,18
135.0.77.56,/async,1,CON,2,2.05 Content,62882,06ec,,done,4
135.0.11.50,/,1,ACK,2,2.05 Content,5370,df8b,"{'CONTENT_FORMAT': 'TEXT', 'MAX_AGE': '196607'}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127
135.0.11.50,/qlink/searchfh,1,ACK,2,4.05 Method Not Allowed,3190,0140,,Method Not Allowed,18
135.0.11.50,/qlink/searchgw,1,ACK,2,4.05 Method Not Allowed,56748,aea8,,Method Not Allowed,18
135.0.11.50,/qlink/request,1,ACK,2,4.05 Method Not Allowed,58295,0154,,Method Not Allowed,18
135.0.11.50,/qlink/success,1,ACK,2,4.05 Method Not Allowed,43850,8a0e,,Method Not Allowed,18
135.0.11.50,/device/inform/bootstrap,1,ACK,2,4.05 Method Not Allowed,24910,8b3f,,Method Not Allowed,18
135.0.11.50,/device/inform/boot,1,ACK,2,4.05 Method Not Allowed,51795,6c84,,Method Not Allowed,18
135.0.11.50,/device/inform/syncreq,1,ACK,2,4.05 Method Not Allowed,29109,6244,,Method Not Allowed,18
135.0.11.50,/device/inform/offline,1,ACK,2,4.05 Method Not Allowed,40575,3210,,Method Not Allowed,18
135.0.11.50,/device/inform/heartbeat,1,ACK,2,4.05 Method Not Allowed,11408,4782,,Method Not Allowed,18
135.0.11.50,/device/inform/data,1,ACK,2,4.05 Method Not Allowed,5992,6cae,,Method Not Allowed,18
135.0.11.50,/device/inform/change,1,ACK,2,4.05 Method Not Allowed,24368,c19b,,Method Not Allowed,18
