saddr,as_domain,as_name,asn,continent,continent_code,country,country_code
192.162.165.8,rako-lan.pl,USLUGI KOMPUTEROWE KOZDEBA SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,AS197721,Europe,EU,Poland,PL
193.106.97.59,it3.com,IT Ltd,AS52194,Europe,EU,Russia,RU
211.142.245.220,chinamobile.com,China Mobile communications corporation,AS56047,Asia,AS,China,CN
223.112.152.222,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
206.176.159.196,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
218.200.13.186,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
223.85.255.103,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
211.228.25.123,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
222.142.155.125,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
211.139.92.52,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
223.76.189.163,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
220.123.169.246,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
192.173.150.107,ruralconnect.ca,RURAL CONNECT LTD.,AS398038,North America,NA,Canada,CA
221.131.85.32,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
220.180.97.82,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
223.66.81.122,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
223.65.208.74,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
203.194.106.236,onebroadband.in,ONEOTT INTERTAINMENT LIMITED,AS17665,Asia,AS,India,IN
210.1.123.148,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
193.31.194.241,ketis.ru,KETIS Ltd.,AS48320,Europe,EU,Russia,RU
206.253.69.66,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
209.141.170.80,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
218.208.213.55,tm.com.my,TM TECHNOLOGY SERVICES SDN. BHD.,AS4788,Asia,AS,Malaysia,MY
213.170.127.76,ptl.ru,Quantum CJSC,AS12418,Europe,EU,Russia,RU
222.136.223.224,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
222.212.88.44,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
218.207.165.109,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
193.233.122.47,avanta-telecom.ru,"LLC ""AVANTA TELECOM""",AS56701,Europe,EU,Russia,RU
218.203.225.186,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
206.221.85.246,cablenet.com.ar,Cablenet S.A.,AS264797,South America,SA,Argentina,AR
223.82.65.22,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
221.209.118.124,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
213.108.40.217,internet.zt.ua,"PBF ""Electra""",AS48094,Europe,EU,Ukraine,UA
223.19.182.45,hgc-intl.com,HGC Global Communications Limited,AS9304,Asia,AS,Hong Kong,HK
219.92.41.81,tm.com.my,TM TECHNOLOGY SERVICES SDN. BHD.,AS4788,Asia,AS,Malaysia,MY
223.14.160.34,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
192.173.150.70,ruralconnect.ca,RURAL CONNECT LTD.,AS398038,North America,NA,Canada,CA
207.5.144.53,gwi.net,Biddeford Internet Corp,AS5760,North America,NA,United States,US
194.105.5.135,keyubu.com,KEYUBU Internet ve Bilisim Tic. Ltd. Sti.,AS210538,Asia,AS,Turkey,TR
213.129.103.159,ttk.ru,"Limited Liability Company ""TTK-Svyaz""",AS15774,Europe,EU,Russia,RU
193.233.213.4,vnet.su,VNET LLC,AS56690,Europe,EU,Russia,RU
221.203.127.246,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
220.119.11.232,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
223.166.2.235,chinaunicom.cn,China Unicom Shanghai network,AS17621,Asia,AS,China,CN
210.204.184.87,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
209.141.189.49,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
217.15.205.59,maxnet.ru,MAXnet Systems Ltd.,AS8636,Europe,EU,Russia,RU
222.135.103.34,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
194.9.236.64,fortex.ru,FORTEX CJSC,AS48166,Europe,EU,Russia,RU
209.141.171.46,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
223.85.92.153,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
223.72.17.148,chinamobile.com,China Mobile Communicaitons Corporation,AS56048,Asia,AS,China,CN
211.139.234.25,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
209.141.148.77,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
194.85.94.7,com.ru,Cybercom Ltd.,AS56580,Europe,EU,Russia,RU
217.197.200.165,artx.ru,ArtX LLC,AS20985,Europe,EU,Russia,RU
