saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,observable,user_inserted,version,mtype,token,token_length,code,mid,options,data_length,uri
5.42.88.179,3008899589,192.168.0.123,2063640768,842,52,udp,1,5683,42292,12,,,,,,0,1,2025-11-01T10:18:44.358+0100,1761988724,358364,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/dis
5.167.172.249,4188841733,192.168.0.123,2063640768,3953,54,udp,1,5683,47288,12,,,,,,0,1,2025-11-01T10:18:44.367+0100,1761988724,367480,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/dis
5.172.27.61,1025223685,192.168.0.123,2063640768,3181,53,udp,1,5683,42054,12,,,,,,0,1,2025-11-01T10:18:44.382+0100,1761988724,382435,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/dis
5.138.232.173,2917698053,192.168.0.123,2063640768,28729,54,udp,1,5683,38452,12,,,,,,0,1,2025-11-01T10:18:44.385+0100,1761988724,385716,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/dis
5.43.153.220,3701025541,192.168.0.123,2063640768,54119,54,udp,1,5683,32923,12,,,,,,0,1,2025-11-01T10:18:44.389+0100,1761988724,389804,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/dis
31.44.183.208,3501665311,192.168.0.123,2063640768,42620,53,udp,1,5683,44279,12,,,,,,0,1,2025-11-01T10:18:44.393+0100,1761988724,393974,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/dis
31.148.62.199,3342767135,192.168.0.123,2063640768,29291,53,udp,1,5683,44948,12,,,,,,0,1,2025-11-01T10:18:44.394+0100,1761988724,394073,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/dis
31.128.204.48,818708511,192.168.0.123,2063640768,52106,46,udp,1,5683,48014,12,,,,,,0,1,2025-11-01T10:18:44.428+0100,1761988724,428337,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/dis
5.143.50.180,3023212293,192.168.0.123,2063640768,24636,54,udp,1,5683,39170,12,,,,,,0,1,2025-11-01T10:18:44.534+0100,1761988724,534955,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/dis
5.42.88.179,3008899589,192.168.0.123,2063640768,3848,52,udp,1,5683,59250,16,0x1,,,,,0,1,2025-11-01T10:18:56.518+0100,1761988736,518888,3,False,1,2,,0,4.00 Bad Request,32112,,3,/ndm/ci
5.167.172.249,4188841733,192.168.0.123,2063640768,4912,54,udp,1,5683,34511,16,0x1,,,,,0,1,2025-11-01T10:18:56.521+0100,1761988736,521761,3,False,1,2,,0,4.00 Bad Request,32112,,3,/ndm/ci
31.44.183.208,3501665311,192.168.0.123,2063640768,45289,53,udp,1,5683,59774,16,0x1,,,,,0,1,2025-11-01T10:18:56.528+0100,1761988736,528338,3,False,1,2,,0,4.00 Bad Request,32112,,3,/ndm/ci
5.172.27.61,1025223685,192.168.0.123,2063640768,3615,53,udp,1,5683,53089,16,0x1,,,,,0,1,2025-11-01T10:18:56.529+0100,1761988736,529138,3,False,1,2,,0,4.00 Bad Request,32112,,3,/ndm/ci
31.148.62.199,3342767135,192.168.0.123,2063640768,31297,53,udp,1,5683,35001,16,0x1,,,,,0,1,2025-11-01T10:18:56.537+0100,1761988736,537804,3,False,1,2,,0,4.00 Bad Request,32112,,3,/ndm/ci
