saddr,as_domain,as_name,asn,continent,continent_code,country,country_code
119.93.199.196,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
112.28.78.168,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
112.18.110.241,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
119.94.61.17,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
111.22.133.127,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
112.17.83.30,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
109.94.177.198,mts.ru,MTS PJSC,AS44895,Europe,EU,Russia,RU
120.198.31.134,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
117.176.195.179,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
115.135.35.224,tm.com.my,TM TECHNOLOGY SERVICES SDN. BHD.,AS4788,Asia,AS,Malaysia,MY
115.135.205.130,tm.com.my,TM TECHNOLOGY SERVICES SDN. BHD.,AS4788,Asia,AS,Malaysia,MY
112.18.110.233,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
122.52.16.5,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
109.248.82.242,lanoptic.ru,"LAN-Optic, Ltd",AS47193,Europe,EU,Russia,RU
112.209.16.213,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
122.53.47.241,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
121.183.18.224,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
117.141.56.253,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
122.2.250.237,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
111.8.237.117,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
101.206.194.67,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
119.189.155.191,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
111.221.194.54,topway.com.cn,ShenZhen Topway Video Communication Co. Ltd,AS17962,Asia,AS,China,CN
118.100.168.238,tm.com.my,TM TECHNOLOGY SERVICES SDN. BHD.,AS4788,Asia,AS,Malaysia,MY
111.38.239.56,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
124.217.67.42,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
117.172.227.199,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
