122.2.118.132,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
122.192.182.187,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,CN,China,AS,Asia
122.52.71.72,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
177.137.126.51,AS263015,G7 Telecom Ltda,g7internet.com.br,BR,Brazil,SA,South America
185.99.4.153,AS50257,JV A-Mobile Ltd.,a-mobile.biz,GE,Georgia,AS,Asia
111.53.22.67,AS56042,China Mobile communications corporation,chinamobile.com,CN,China,AS,Asia
77.45.243.172,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe
49.144.29.28,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
180.194.17.214,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
185.5.149.43,AS21453,Flex Ltd.,flex.ru,RU,Russia,EU,Europe
120.237.4.214,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
120.237.170.184,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
112.208.247.235,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
175.137.53.200,AS4788,TM TECHNOLOGY SERVICES SDN. BHD.,tm.com.my,MY,Malaysia,AS,Asia
103.114.88.36,AS137811,"BEE UNION (CAMBODIA) TELECOM CO., LTD",beeunion.net,KH,Cambodia,AS,Asia
135.0.253.169,AS54614,CIK Telecom INC,ciktel.com,CA,Canada,NA,North America
88.240.124.114,AS9121,Turk Telekomunikasyon Anonim Sirketi,turktelekom.com.tr,TR,Turkey,AS,Asia
117.210.159.213,AS9829,National Internet Backbone,bsnl.co.in,IN,India,AS,Asia
112.26.251.43,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
58.69.64.87,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
65.191.117.226,AS11426,Charter Communications Inc,charter.com,US,United States,NA,North America
59.182.7.207,AS9829,National Internet Backbone,bsnl.co.in,IN,India,AS,Asia
120.60.91.8,AS9829,National Internet Backbone,bsnl.co.in,IN,India,AS,Asia
120.234.241.168,AS56040,China Mobile communications corporation,chinamobile.com,CN,China,AS,Asia
124.106.227.129,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
180.194.228.6,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
223.87.187.218,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
112.123.138.144,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,CN,China,AS,Asia
202.107.11.106,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,CN,China,AS,Asia
95.53.39.21,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe
188.126.18.165,AS42049,Nadejda.Net Ltd,nadejda.net,BG,Bulgaria,EU,Europe
49.147.79.138,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
60.48.72.134,AS4788,TM TECHNOLOGY SERVICES SDN. BHD.,tm.com.my,MY,Malaysia,AS,Asia
138.229.114.87,AS54614,CIK Telecom INC,ciktel.com,CA,Canada,NA,North America
180.194.10.77,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
112.206.158.189,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
135.0.80.235,AS54614,CIK Telecom INC,ciktel.com,CA,Canada,NA,North America
92.241.112.74,AS44265,OOO Smoltelecom,smoltelecom.ru,RU,Russia,EU,Europe
31.28.217.23,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe
115.203.163.36,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,CN,China,AS,Asia
112.30.16.136,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
119.94.183.175,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
122.2.254.97,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
112.203.201.55,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
58.243.208.56,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,CN,China,AS,Asia
111.8.131.94,AS56047,China Mobile communications corporation,chinamobile.com,CN,China,AS,Asia
120.238.223.180,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
218.204.30.78,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
111.61.213.209,AS24547,Hebei Mobile Communication Company Limited,chinamobile.com,CN,China,AS,Asia
112.205.87.32,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
111.9.46.204,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
176.104.56.117,AS41435,UnderNet LLC,under.net.ua,UA,Ukraine,EU,Europe
120.211.173.212,AS24547,Hebei Mobile Communication Company Limited,chinamobile.com,CN,China,AS,Asia
120.195.114.186,AS56046,China Mobile communications corporation,chinamobile.com,CN,China,AS,Asia
176.56.2.153,AS28745,Joint Stock Company TransTeleCom,transtelecom.net,RU,Russia,EU,Europe
223.85.65.93,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
124.106.198.86,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
46.160.230.200,AS35539,Information and Communication Technologies LLC,infolink.ru,RU,Russia,EU,Europe
175.204.81.167,AS4766,Korea Telecom,kt.com,KR,South Korea,AS,Asia
160.32.223.13,AS54614,CIK Telecom INC,ciktel.com,CA,Canada,NA,North America
192.173.150.242,AS398038,RURAL CONNECT LTD.,ruralconnect.ca,CA,Canada,NA,North America
5.143.30.212,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe
117.174.161.160,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
49.146.221.113,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
112.202.255.54,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
111.8.119.140,AS56047,China Mobile communications corporation,chinamobile.com,CN,China,AS,Asia
176.109.43.254,AS50009,QUARTZ TELECOM LLC,quartztelecom.ru,RU,Russia,EU,Europe
183.237.77.104,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
94.190.21.143,AS48524,"INTERRA telecommunications group, Ltd.",interra.ru,RU,Russia,EU,Europe
111.9.3.205,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
112.209.173.116,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
183.236.183.20,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
109.187.128.77,AS28812,"PJSC ""Bashinformsvyaz""",bashtel.ru,RU,Russia,EU,Europe
182.53.162.99,AS23969,TOT Public Company Limited,ntplc.co.th,TH,Thailand,AS,Asia
120.198.137.138,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
112.203.59.123,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
112.201.189.242,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
122.52.70.60,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
49.151.4.29,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
85.15.103.88,AS34896,Vostoktelecom Telephone Company Limited Liability Company,vtelecom.ru,RU,Russia,EU,Europe
59.183.116.13,AS9829,National Internet Backbone,bsnl.co.in,IN,India,AS,Asia
113.206.143.73,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,CN,China,AS,Asia
112.28.136.59,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
112.201.187.62,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
122.246.72.51,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,CN,China,AS,Asia
120.237.215.216,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
117.139.109.197,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
128.68.135.93,AS8402,"PJSC ""Vimpelcom""",corbina.net,RU,Russia,EU,Europe
109.201.114.240,AS50596,Informatsionnye Tekhnologii LLC,itnet33.ru,RU,Russia,EU,Europe
95.86.217.121,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe
49.144.208.17,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
112.44.242.110,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
112.5.139.37,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
89.23.205.123,AS51042,Klimovsk network Ltd,klimovsk.net,RU,Russia,EU,Europe
112.209.161.46,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
111.26.95.202,AS134810,China Mobile Group JiLin communications corporation,chinamobile.com,CN,China,AS,Asia
80.237.19.72,AS20485,Joint Stock Company TransTeleCom,ttk.ru,RU,Russia,EU,Europe
112.201.237.147,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
91.243.39.6,AS25591,BCLan LLC,bclan.ru,RU,Russia,EU,Europe
