saddr,uri,version,mtype,token_size,code,mid,token,options,payload,payload_size
135.0.77.56,/,1,ACK,2,2.05 Content,51785,56cb,"{'CONTENT_FORMAT': 'TEXT', 'MAX_AGE': '196607'}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127
135.0.77.56,/qlink/searchfh,1,ACK,2,4.05 Method Not Allowed,55595,e567,,Method Not Allowed,18
135.0.77.56,/qlink/searchgw,1,ACK,2,4.05 Method Not Allowed,26551,284f,,Method Not Allowed,18
135.0.77.56,/qlink/request,1,ACK,2,4.05 Method Not Allowed,64476,6fc0,,Method Not Allowed,18
135.0.77.56,/qlink/success,1,ACK,2,4.05 Method Not Allowed,11373,68e4,,Method Not Allowed,18
135.0.77.56,/device/inform/bootstrap,1,ACK,2,4.05 Method Not Allowed,41519,e2a6,,Method Not Allowed,18
135.0.77.56,/device/inform/boot,1,ACK,2,4.05 Method Not Allowed,61194,f8ea,,Method Not Allowed,18
135.0.77.56,/device/inform/syncreq,1,ACK,2,4.05 Method Not Allowed,54962,906d,,Method Not Allowed,18
135.0.77.56,/device/inform/offline,1,ACK,2,4.05 Method Not Allowed,19046,dcfb,,Method Not Allowed,18
135.0.77.56,/device/inform/heartbeat,1,ACK,2,4.05 Method Not Allowed,50913,cf3d,,Method Not Allowed,18
135.0.77.56,/device/inform/data,1,ACK,2,4.05 Method Not Allowed,5767,c5aa,,Method Not Allowed,18
135.0.77.56,/device/inform/change,1,ACK,2,4.05 Method Not Allowed,16698,7eb5,,Method Not Allowed,18
135.0.77.56,/async,1,CON,2,2.05 Content,62881,9609,,done,4
135.0.159.143,/,1,ACK,2,2.05 Content,57756,1dd2,"{'CONTENT_FORMAT': 'TEXT', 'MAX_AGE': '196607'}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127
135.0.159.143,/qlink/searchfh,1,ACK,2,4.05 Method Not Allowed,43512,f071,,Method Not Allowed,18
135.0.159.143,/qlink/searchgw,1,ACK,2,4.05 Method Not Allowed,46789,6b15,,Method Not Allowed,18
135.0.159.143,/qlink/request,1,ACK,2,4.05 Method Not Allowed,21012,c3da,,Method Not Allowed,18
135.0.159.143,/qlink/success,1,ACK,2,4.05 Method Not Allowed,26502,0b31,,Method Not Allowed,18
135.0.159.143,/device/inform/bootstrap,1,ACK,2,4.05 Method Not Allowed,46519,f2ce,,Method Not Allowed,18
135.0.159.143,/device/inform/boot,1,ACK,2,4.05 Method Not Allowed,2052,20f9,,Method Not Allowed,18
135.0.159.143,/device/inform/syncreq,1,ACK,2,4.05 Method Not Allowed,13246,6979,,Method Not Allowed,18
135.0.159.143,/device/inform/offline,1,ACK,2,4.05 Method Not Allowed,28991,8f87,,Method Not Allowed,18
135.0.159.143,/device/inform/heartbeat,1,ACK,2,4.05 Method Not Allowed,17941,ebea,,Method Not Allowed,18
135.0.159.143,/device/inform/data,1,ACK,2,4.05 Method Not Allowed,26241,ea96,,Method Not Allowed,18
135.0.159.143,/device/inform/change,1,ACK,2,4.05 Method Not Allowed,38555,8f45,,Method Not Allowed,18
135.0.159.143,/async,1,CON,2,2.05 Content,19445,11d9,,done,4
135.0.11.50,/,1,ACK,2,2.05 Content,4488,2916,"{'CONTENT_FORMAT': 'TEXT', 'MAX_AGE': '196607'}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127
135.0.11.50,/qlink/searchfh,1,ACK,2,4.05 Method Not Allowed,9852,8b0b,,Method Not Allowed,18
135.0.11.50,/qlink/searchgw,1,ACK,2,4.05 Method Not Allowed,58572,90cd,,Method Not Allowed,18
