saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,observable,user_inserted,version,mtype,token,token_length,code,mid,options,data_length,uri
46.173.50.116,1949478190,192.168.0.123,2063640768,55155,51,udp,1,5683,46515,12,,,,,,0,1,2025-10-31T15:34:46.612+0100,1761921286,612213,3,True,1,2,,0,4.04 Not Found,32112,,0,/
37.204.171.78,1319881765,192.168.0.123,2063640768,34377,53,udp,1,5683,52522,12,,,,,,0,1,2025-10-31T15:34:46.618+0100,1761921286,618114,3,True,1,2,,0,4.04 Not Found,32112,,0,/
44.250.80.149,2505112108,192.168.0.123,2063640768,61834,111,udp,1,5683,39565,419,"****************************************************************
CoAP RFC 7252****************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014-2022 Institute for Pervasive Computing, ETH Zurich and others
****************************************************************",,,,,0,1,2025-10-31T15:34:46.722+0100,1761921286,722082,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",405,/
42.191.89.119,2002370346,192.168.0.123,2063640768,43639,50,udp,1,5683,33566,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-31T15:34:46.745+0100,1761921286,745388,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127,/
49.144.220.226,3806105649,192.168.0.123,2063640768,0,50,udp,1,5683,33999,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-31T15:34:46.752+0100,1761921286,752620,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127,/
49.145.117.205,3447034161,192.168.0.123,2063640768,0,52,udp,1,5683,51121,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-31T15:34:46.759+0100,1761921286,759087,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127,/
49.145.62.50,842961201,192.168.0.123,2063640768,0,52,udp,1,5683,38909,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-31T15:34:46.762+0100,1761921286,762797,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127,/
49.149.201.190,3200881969,192.168.0.123,2063640768,0,52,udp,1,5683,50477,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-31T15:34:46.776+0100,1761921286,776700,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127,/
36.141.76.76,1280085284,192.168.0.123,2063640768,60203,42,udp,1,5683,41070,154,"This is a test server made with libcoap (see https://libcoap.net)
Copyright (C) 2010--2019 Olaf Bergmann <bergmann@tzi.org> and others

",,,,,0,1,2025-10-31T15:34:46.801+0100,1761921286,801167,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",136,/
42.224.183.32,548921386,192.168.0.123,2063640768,20194,36,udp,1,5683,59891,22,Not Found,,,,,0,1,2025-10-31T15:34:46.804+0100,1761921286,804348,3,True,1,2,,0,4.04 Not Found,32112,,9,/
