saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,uri,observable,user_inserted,version,mtype,token,token_length,code,mid,options,data_length
46.22.251.151,2549814830,192.168.0.123,2063640768,65271,53,udp,1,5683,40054,12,,,,,,0,1,2025-10-30T18:48:33.612+0100,1761846513,612677,/,3,True,1,2,,0,4.04 Not Found,32112,,0
37.140.2.80,1342344229,192.168.0.123,2063640768,5004,53,udp,1,5683,52771,12,,,,,,0,1,2025-10-30T18:48:33.617+0100,1761846513,617097,/,3,True,1,2,,0,4.04 Not Found,32112,,0
37.194.188.129,2176631333,192.168.0.123,2063640768,13039,52,udp,1,5683,35766,12,,,,,,0,1,2025-10-30T18:48:33.625+0100,1761846513,625208,/,3,True,1,2,,0,4.04 Not Found,32112,,0
46.187.104.42,711506734,192.168.0.123,2063640768,28043,47,udp,1,5683,53045,12,,,,,,0,1,2025-10-30T18:48:33.631+0100,1761846513,631081,/,3,True,1,2,,0,4.04 Not Found,32112,,0
46.61.114.193,3245489454,192.168.0.123,2063640768,27639,54,udp,1,5683,34057,12,,,,,,0,1,2025-10-30T18:48:33.661+0100,1761846513,661567,/,3,True,1,2,,0,4.04 Not Found,32112,,0
59.91.215.207,3486997307,192.168.0.123,2063640768,0,49,udp,1,5683,45018,462,"************************************************************
CoAP RFC 7252                                               
************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014, 2015, 2016 Institute for Pervasive Computing, ETH Zurich and others
************************************************************",,,,,0,1,2025-10-30T18:48:33.694+0100,1761846513,694712,/,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",448
60.52.137.132,2223584316,192.168.0.123,2063640768,64802,51,udp,1,5683,45697,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T18:48:33.717+0100,1761846513,717003,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
49.147.96.169,2841678641,192.168.0.123,2063640768,0,52,udp,1,5683,39078,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T18:48:33.717+0100,1761846513,717994,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
60.53.11.84,1410020668,192.168.0.123,2063640768,48649,51,udp,1,5683,44509,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T18:48:33.720+0100,1761846513,720896,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
49.145.50.172,2888995121,192.168.0.123,2063640768,0,52,udp,1,5683,50911,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T18:48:33.729+0100,1761846513,729548,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
49.146.50.9,154309169,192.168.0.123,2063640768,0,52,udp,1,5683,44455,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T18:48:33.731+0100,1761846513,731622,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
49.147.123.5,91984689,192.168.0.123,2063640768,0,52,udp,1,5683,32936,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T18:48:33.734+0100,1761846513,734654,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
49.145.119.241,4051145009,192.168.0.123,2063640768,0,52,udp,1,5683,39981,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T18:48:33.737+0100,1761846513,737707,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
47.117.126.155,2608756015,192.168.0.123,2063640768,23762,45,udp,1,5683,52136,209,"1.only POST is supported, 2.option:uri-path must be set.
refer to CoAP RFC 7252: https://datatracker.ietf.org/doc/rfc7252/
refer to aliyun page: https://help.aliyun.com/document_detail/57697.html",,,,,0,1,2025-10-30T18:48:33.757+0100,1761846513,757169,/,3,True,1,2,,0,4.03 Forbidden,32112,"{""CONTENT_FORMAT"": ""TEXT""}",195
36.163.38.190,3190203172,192.168.0.123,2063640768,56958,43,udp,1,5683,33614,462,"************************************************************
CoAP RFC 7252                                               
************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014, 2015, 2016 Institute for Pervasive Computing, ETH Zurich and others
************************************************************",,,,,0,1,2025-10-30T18:48:33.765+0100,1761846513,765859,/,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",448
39.90.144.108,1821399591,192.168.0.123,2063640768,22820,36,udp,1,5683,38605,22,Not Found,,,,,0,1,2025-10-30T18:48:33.803+0100,1761846513,803782,/,3,True,1,2,,0,4.04 Not Found,32112,,9
39.170.74.44,743090727,192.168.0.123,2063640768,20164,42,udp,1,5683,53336,154,"This is a test server made with libcoap (see https://libcoap.net)
Copyright (C) 2010--2019 Olaf Bergmann <bergmann@tzi.org> and others

",,,,,0,1,2025-10-30T18:48:33.813+0100,1761846513,813704,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",136
49.149.115.93,1567855921,192.168.0.123,2063640768,0,52,udp,1,5683,44469,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T18:48:33.817+0100,1761846513,817019,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
60.52.137.132,2223584316,192.168.0.123,2063640768,65114,51,udp,1,5683,46586,31,Method Not Allowed,,,,,0,1,2025-10-30T18:48:45.866+0100,1761846525,866399,/qlink/searchfh,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18
60.53.11.84,1410020668,192.168.0.123,2063640768,49104,51,udp,1,5683,45644,31,Method Not Allowed,,,,,0,1,2025-10-30T18:48:45.875+0100,1761846525,875074,/qlink/searchfh,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18
49.147.123.5,91984689,192.168.0.123,2063640768,0,52,udp,1,5683,58673,31,Method Not Allowed,,,,,0,1,2025-10-30T18:48:45.879+0100,1761846525,879405,/qlink/searchfh,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18
49.145.50.172,2888995121,192.168.0.123,2063640768,0,50,udp,1,5683,34384,31,Method Not Allowed,,,,,0,1,2025-10-30T18:48:45.889+0100,1761846525,889660,/qlink/searchfh,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18
