saddr,as_domain,as_name,asn,continent,continent_code,country,country_code
162.208.213.86,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
183.130.207.19,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
183.251.59.102,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
179.35.9.138,tim.com.br,TIM S/A,AS26615,South America,SA,Brazil,BR
185.165.219.250,divomail.ru,JSC DIVO,AS34139,Europe,EU,Russia,RU
183.220.167.12,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
182.53.187.120,ntplc.co.th,TOT Public Company Limited,AS23969,Asia,AS,Thailand,TH
180.195.59.174,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
171.103.209.77,trueinternet.co.th,"TRUE INTERNET Co.,Ltd.",AS7470,Asia,AS,Thailand,TH
162.208.185.157,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
176.77.28.96,wifire.ru,PJSC MegaFon,AS12714,Europe,EU,Russia,RU
178.57.27.67,atel-rybinsk.ru,LTD AtelRybinsk,AS201952,Europe,EU,Russia,RU
175.167.79.159,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
180.194.93.142,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
