60.48.72.134,AS4788,TM TECHNOLOGY SERVICES SDN. BHD.,tm.com.my,MY,Malaysia,AS,Asia
138.229.114.87,AS54614,CIK Telecom INC,ciktel.com,CA,Canada,NA,North America
180.194.10.77,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
112.206.158.189,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
135.0.80.235,AS54614,CIK Telecom INC,ciktel.com,CA,Canada,NA,North America
92.241.112.74,AS44265,OOO Smoltelecom,smoltelecom.ru,RU,Russia,EU,Europe
31.28.217.23,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe
115.203.163.36,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,CN,China,AS,Asia
112.30.16.136,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
119.94.183.175,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
122.2.254.97,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
112.203.201.55,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
58.243.208.56,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,CN,China,AS,Asia
111.8.131.94,AS56047,China Mobile communications corporation,chinamobile.com,CN,China,AS,Asia
120.238.223.180,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
218.204.30.78,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
