59.183.116.13,AS9829,National Internet Backbone,bsnl.co.in,IN,India,AS,Asia
113.206.143.73,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,CN,China,AS,Asia
112.28.136.59,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
112.201.187.62,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
122.246.72.51,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,CN,China,AS,Asia
120.237.215.216,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
117.139.109.197,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
128.68.135.93,AS8402,"PJSC ""Vimpelcom""",corbina.net,RU,Russia,EU,Europe
109.201.114.240,AS50596,Informatsionnye Tekhnologii LLC,itnet33.ru,RU,Russia,EU,Europe
95.86.217.121,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe
49.144.208.17,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
112.44.242.110,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
112.5.139.37,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
89.23.205.123,AS51042,Klimovsk network Ltd,klimovsk.net,RU,Russia,EU,Europe
112.209.161.46,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
111.26.95.202,AS134810,China Mobile Group JiLin communications corporation,chinamobile.com,CN,China,AS,Asia
80.237.19.72,AS20485,Joint Stock Company TransTeleCom,ttk.ru,RU,Russia,EU,Europe
112.201.237.147,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
91.243.39.6,AS25591,BCLan LLC,bclan.ru,RU,Russia,EU,Europe
