88.240.124.114,AS9121,Turk Telekomunikasyon Anonim Sirketi,turktelekom.com.tr,TR,Turkey,AS,Asia
117.210.159.213,AS9829,National Internet Backbone,bsnl.co.in,IN,India,AS,Asia
112.26.251.43,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
58.69.64.87,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
65.191.117.226,AS11426,Charter Communications Inc,charter.com,US,United States,NA,North America
59.182.7.207,AS9829,National Internet Backbone,bsnl.co.in,IN,India,AS,Asia
120.60.91.8,AS9829,National Internet Backbone,bsnl.co.in,IN,India,AS,Asia
120.234.241.168,AS56040,China Mobile communications corporation,chinamobile.com,CN,China,AS,Asia
124.106.227.129,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
180.194.228.6,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
223.87.187.218,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
112.123.138.144,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,CN,China,AS,Asia
202.107.11.106,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,CN,China,AS,Asia
95.53.39.21,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe
188.126.18.165,AS42049,Nadejda.Net Ltd,nadejda.net,BG,Bulgaria,EU,Europe
49.147.79.138,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
