saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,observable,user_inserted,version,mtype,token,token_length,code,mid,options,data_length,uri
217.17.118.175,2943750617,192.168.0.123,2063640768,55611,50,udp,1,5683,58443,12,,,,,,0,1,2025-10-31T17:27:41.260+0100,1761928061,260687,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/register
194.4.151.49,831980738,192.168.0.123,2063640768,47544,53,udp,1,5683,37377,12,,,,,,0,1,2025-10-31T17:27:41.265+0100,1761928061,265161,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/register
211.139.206.44,751733715,192.168.0.123,2063640768,38248,42,udp,1,5683,47403,31,Method Not Allowed,,,,,0,1,2025-10-31T17:29:30.365+0100,1761928170,365869,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchdevice
202.110.12.59,990670538,192.168.0.123,2063640768,18151,36,udp,1,5683,43312,31,Method Not Allowed,,,,,0,1,2025-10-31T17:29:30.417+0100,1761928170,417762,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchdevice
218.204.163.250,4205038810,192.168.0.123,2063640768,19194,42,udp,1,5683,47433,31,Method Not Allowed,,,,,0,1,2025-10-31T17:29:30.674+0100,1761928170,674383,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchdevice
221.179.126.146,2457777117,192.168.0.123,2063640768,3537,42,udp,1,5683,46190,31,Method Not Allowed,,,,,0,1,2025-10-31T17:29:30.808+0100,1761928170,808624,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchdevice
211.139.206.44,751733715,192.168.0.123,2063640768,39214,42,udp,1,5683,42816,31,Method Not Allowed,,,,,0,1,2025-10-31T17:29:42.448+0100,1761928182,448182,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/netinfo
202.110.12.59,990670538,192.168.0.123,2063640768,18196,38,udp,1,5683,47624,31,Method Not Allowed,,,,,0,1,2025-10-31T17:29:42.486+0100,1761928182,486543,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/netinfo
218.204.163.250,4205038810,192.168.0.123,2063640768,19795,42,udp,1,5683,44839,31,Method Not Allowed,,,,,0,1,2025-10-31T17:29:42.503+0100,1761928182,503358,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/netinfo
221.179.126.146,2457777117,192.168.0.123,2063640768,3683,42,udp,1,5683,54017,31,Method Not Allowed,,,,,0,1,2025-10-31T17:29:42.855+0100,1761928182,855592,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/netinfo
211.139.206.44,751733715,192.168.0.123,2063640768,39266,42,udp,1,5683,49159,31,Method Not Allowed,,,,,0,1,2025-10-31T17:29:54.902+0100,1761928194,902947,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchack
221.179.126.146,2457777117,192.168.0.123,2063640768,4199,42,udp,1,5683,52594,31,Method Not Allowed,,,,,0,1,2025-10-31T17:29:54.903+0100,1761928194,903342,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchack
211.139.206.44,751733715,192.168.0.123,2063640768,40123,42,udp,1,5683,42635,31,Method Not Allowed,,,,,0,1,2025-10-31T17:30:06.701+0100,1761928206,701573,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/unbind
218.204.163.250,4205038810,192.168.0.123,2063640768,21195,42,udp,1,5683,40853,31,Method Not Allowed,,,,,0,1,2025-10-31T17:30:06.730+0100,1761928206,730591,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/unbind
221.179.126.146,2457777117,192.168.0.123,2063640768,4723,42,udp,1,5683,60944,31,Method Not Allowed,,,,,0,1,2025-10-31T17:30:06.739+0100,1761928206,739016,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/unbind
211.139.206.44,751733715,192.168.0.123,2063640768,40445,42,udp,1,5683,44476,31,Method Not Allowed,,,,,0,1,2025-10-31T17:30:18.826+0100,1761928218,826444,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/file
221.179.126.146,2457777117,192.168.0.123,2063640768,5039,42,udp,1,5683,52049,31,Method Not Allowed,,,,,0,1,2025-10-31T17:30:18.845+0100,1761928218,845293,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/file
218.204.163.250,4205038810,192.168.0.123,2063640768,21751,42,udp,1,5683,46279,31,Method Not Allowed,,,,,0,1,2025-10-31T17:30:18.871+0100,1761928218,871035,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/file
211.139.206.44,751733715,192.168.0.123,2063640768,41563,42,udp,1,5683,39113,31,Method Not Allowed,,,,,0,1,2025-10-31T17:30:30.903+0100,1761928230,903162,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/log
218.204.163.250,4205038810,192.168.0.123,2063640768,22930,42,udp,1,5683,44490,31,Method Not Allowed,,,,,0,1,2025-10-31T17:30:30.957+0100,1761928230,957672,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/log
221.179.126.146,2457777117,192.168.0.123,2063640768,5737,42,udp,1,5683,60475,31,Method Not Allowed,,,,,0,1,2025-10-31T17:30:30.960+0100,1761928230,960760,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/log
211.139.206.44,751733715,192.168.0.123,2063640768,42537,42,udp,1,5683,43289,31,Method Not Allowed,,,,,0,1,2025-10-31T17:30:43.035+0100,1761928243,35311,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/selfdetect
221.179.126.146,2457777117,192.168.0.123,2063640768,6028,42,udp,1,5683,35747,31,Method Not Allowed,,,,,0,1,2025-10-31T17:30:43.089+0100,1761928243,89572,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/selfdetect
218.204.163.250,4205038810,192.168.0.123,2063640768,23113,42,udp,1,5683,45180,31,Method Not Allowed,,,,,0,1,2025-10-31T17:30:43.099+0100,1761928243,99670,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/selfdetect
211.139.206.44,751733715,192.168.0.123,2063640768,42611,42,udp,1,5683,46163,22,Not Found,,,,,0,1,2025-10-31T17:30:55.129+0100,1761928255,129505,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/searchdevice?true
221.179.126.146,2457777117,192.168.0.123,2063640768,7149,42,udp,1,5683,50088,22,Not Found,,,,,0,1,2025-10-31T17:30:55.197+0100,1761928255,197127,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/searchdevice?true
218.204.163.250,4205038810,192.168.0.123,2063640768,23970,42,udp,1,5683,36324,22,Not Found,,,,,0,1,2025-10-31T17:30:55.199+0100,1761928255,199422,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/searchdevice?true
211.139.206.44,751733715,192.168.0.123,2063640768,43285,42,udp,1,5683,55016,22,Not Found,,,,,0,1,2025-10-31T17:31:07.255+0100,1761928267,255528,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/searchRouter?true
221.179.126.146,2457777117,192.168.0.123,2063640768,8285,42,udp,1,5683,57336,22,Not Found,,,,,0,1,2025-10-31T17:31:07.307+0100,1761928267,307589,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/searchRouter?true
218.204.163.250,4205038810,192.168.0.123,2063640768,24478,42,udp,1,5683,35161,22,Not Found,,,,,0,1,2025-10-31T17:31:07.310+0100,1761928267,310796,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/searchRouter?true
211.139.206.44,751733715,192.168.0.123,2063640768,43292,42,udp,1,5683,55619,22,Not Found,,,,,0,1,2025-10-31T17:31:19.691+0100,1761928279,691391,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/guide?true
221.179.126.146,2457777117,192.168.0.123,2063640768,8423,42,udp,1,5683,33445,22,Not Found,,,,,0,1,2025-10-31T17:31:19.691+0100,1761928279,691463,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/guide?true
218.204.163.250,4205038810,192.168.0.123,2063640768,25222,42,udp,1,5683,41184,22,Not Found,,,,,0,1,2025-10-31T17:31:19.691+0100,1761928279,691564,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/guide?true
211.139.206.44,751733715,192.168.0.123,2063640768,44105,42,udp,1,5683,34863,22,Not Found,,,,,0,1,2025-10-31T17:31:31.497+0100,1761928291,497259,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/request?true
218.204.163.250,4205038810,192.168.0.123,2063640768,25416,42,udp,1,5683,54964,22,Not Found,,,,,0,1,2025-10-31T17:31:31.562+0100,1761928291,562356,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/request?true
221.179.126.146,2457777117,192.168.0.123,2063640768,9596,42,udp,1,5683,56229,22,Not Found,,,,,0,1,2025-10-31T17:31:31.569+0100,1761928291,569284,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/request?true
209.141.174.167,2813234641,192.168.0.123,2063640768,3000,47,udp,1,5683,48979,31,Method Not Allowed,,,,,0,1,2025-10-31T17:31:43.499+0100,1761928303,499562,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/data
210.1.123.5,91947474,192.168.0.123,2063640768,0,52,udp,1,5683,34624,31,Method Not Allowed,,,,,0,1,2025-10-31T17:31:43.585+0100,1761928303,585392,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/data
223.108.115.158,2658364639,192.168.0.123,2063640768,48914,43,udp,1,5683,36056,26,should post ,,,,,0,1,2025-10-31T17:31:43.618+0100,1761928303,618535,3,False,1,2,,0,4.00 Bad Request,32112,"{""CONTENT_FORMAT"": ""TEXT""}",12,/device/inform/data
211.139.206.44,751733715,192.168.0.123,2063640768,45174,42,udp,1,5683,40484,31,Method Not Allowed,,,,,0,1,2025-10-31T17:31:43.626+0100,1761928303,626413,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/data
