164.215.86.205,AS12688,Joint Stock Company TransTeleCom,transtelecom.net,RU,Russia,EU,Europe
46.150.176.80,AS49106,Opticom Group AO,opticom.net,RU,Russia,EU,Europe
115.133.243.236,AS4788,TM TECHNOLOGY SERVICES SDN. BHD.,tm.com.my,MY,Malaysia,AS,Asia
135.0.246.54,AS54614,CIK Telecom INC,ciktel.com,CA,Canada,NA,North America
183.223.216.210,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
50.5.186.228,AS6181,Cincinnati Bell Telephone Company LLC,cincinnatibell.com,US,United States,NA,North America
176.115.69.68,AS198715,Orbita Ltd.,,RU,Russia,EU,Europe
176.108.72.65,AS57826,Svyaz-INKOM-Servis i telekommunikatsii Ltd.,esilnet.com,KZ,Kazakhstan,AS,Asia
185.203.66.218,AS211057,Astra for Telecommunication and IT Services,astra.ps,PS,Palestinian Territory,AS,Asia
183.212.75.94,AS56046,China Mobile communications corporation,chinamobile.com,CN,China,AS,Asia
175.138.30.141,AS4788,TM TECHNOLOGY SERVICES SDN. BHD.,tm.com.my,MY,Malaysia,AS,Asia
78.132.235.95,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe
78.153.0.85,AS8359,MTS PJSC,mts.ru,RU,Russia,EU,Europe
138.229.116.104,AS54614,CIK Telecom INC,ciktel.com,CA,Canada,NA,North America
111.22.148.51,AS56047,China Mobile communications corporation,chinamobile.com,CN,China,AS,Asia
80.242.99.184,AS25591,BCLan LLC,bclan.ru,RU,Russia,EU,Europe
111.23.33.46,AS56047,China Mobile communications corporation,chinamobile.com,CN,China,AS,Asia
172.236.194.45,AS63949,Akamai Connected Cloud,linode.com,DE,Germany,EU,Europe
58.136.13.56,AS133481,AIS Fibre,ais.co.th,TH,Thailand,AS,Asia
91.105.164.114,AS21127,Joint Stock Company TransTeleCom,ttk.ru,RU,Russia,EU,Europe
95.221.205.84,AS12714,PJSC MegaFon,wifire.ru,RU,Russia,EU,Europe
112.27.17.132,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
188.43.111.11,AS20485,Joint Stock Company TransTeleCom,ttk.ru,RU,Russia,EU,Europe
46.148.137.47,AS44056,Trytek LLC,trytek.ru,RU,Russia,EU,Europe
